Index,TagID_Hex,PRI,TagID_Dec,tank
691,385A,5,14426,36offsite
321,2FEA_shedTag,5,12266,TagEffects
12,2664,5,9828,TagEffects
13,2666,5,9830,TagEffects
26,2690,5,9872,TagEffects
43,26F6,5,9974,TagEffects
48,271A,5,10010,TagEffects
55,2734,5,10036,TagEffects
64,2762,5,10082,TagEffects
67,2768,5,10088,TagEffects
74,2792,5,10130,TagEffects
87,27DA,5,10202,TagEffects
122,2890,5,10384,TagEffects
137,28DE,5,10462,TagEffects
150,290C,5,10508,TagEffects
164,297C,5,10620,TagEffects
177,29B8,5,10680,TagEffects
208,2DE2,5,11746,TagEffects
224,2E2C,5,11820,TagEffects
229,2E42,5,11842,TagEffects
242,2E76,5,11894,TagEffects
263,2EDC,5,11996,TagEffects
282,2F28,5,12072,TagEffects
289,2F42,5,12098,TagEffects
305,2F9A,5,12186,TagEffects
312,2FB4,5,12212,TagEffects
341,30BA,5,12474,TagEffects
369,3168,5,12648,TagEffects
381,31AE,5,12718,TagEffects
407,3248,5,12872,TagEffects
423,3290,5,12944,TagEffects
473,3394,5,13204,TagEffects
482,33B6,5,13238,TagEffects
488,33DA,5,13274,TagEffects
496,3426,5,13350,TagEffects
504,3444,5,13380,TagEffects
520,3488,5,13448,TagEffects
530,34CE,5,13518,TagEffects
535,34E4,5,13540,TagEffects
556,3540,5,13632,TagEffects
588,35F6,5,13814,TagEffects
590,360A,5,13834,TagEffects
591,3612,5,13842,TagEffects
614,3688,5,13960,TagEffects
637,36E8,5,14056,TagEffects
638,36EC,5,14060,TagEffects
642,3714,5,14100,TagEffects
650,3734,5,14132,TagEffects
656,374C,5,14156,TagEffects
667,3776,5,14198,TagEffects
672,379A,5,14234,TagEffects
692,3892,5,14482,TagEffects
1,2324,5,8996,33
3,23A2,5,9122,33
7,2584,5,9604,33
10,25F4,5,9716,33
24,268C,5,9868,33
30,26BC,5,9916,33
35,26D0,5,9936,33
37,26DE,5,9950,33
38,26E2,5,9954,33
39,26E4,5,9956,33
40,26E6,5,9958,33
41,26EE,5,9966,33
46,2712,5,10002,33
52,272C,5,10028,33
58,2744,5,10052,33
63,275E,5,10078,33
69,276E,5,10094,33
73,278A,5,10122,33
77,27A6,5,10150,33
78,27A8,5,10152,33
79,27AC,5,10156,33
82,27B4,5,10164,33
83,27B6,5,10166,33
84,27BA,5,10170,33
85,27CA,5,10186,33
86,27D2,5,10194,33
88,27EA,5,10218,33
90,2812,5,10258,33
91,2814,5,10260,33
93,2824,5,10276,33
95,282C,5,10284,33
96,282E,5,10286,33
98,283A,5,10298,33
99,2842,5,10306,33
101,2846,5,10310,33
103,284C,5,10316,33
104,284E,5,10318,33
105,2850,5,10320,33
106,2858,5,10328,33
110,2868,5,10344,33
113,2872,5,10354,33
115,2876,5,10358,33
116,287A,5,10362,33
117,2882,5,10370,33
118,2884,5,10372,33
121,288C,5,10380,33
128,28BE,5,10430,33
129,28C2,5,10434,33
130,28C6,5,10438,33
133,28CE,5,10446,33
135,28D8,5,10456,33
140,28E8,5,10472,33
141,28EC,5,10476,33
142,28EE,5,10478,33
143,28F2,5,10482,33
144,28F6,5,10486,33
148,2906,5,10502,33
149,2908,5,10504,33
160,2940,5,10560,33
163,2978,5,10616,33
166,2982,5,10626,33
167,2984,5,10628,33
174,299C,5,10652,33
179,2A0C,5,10764,33
182,2BC8,5,11208,33
183,2BFA,5,11258,33
184,2C12,5,11282,33
193,2D9E,5,11678,33
194,2DA0,5,11680,33
197,2DBC,5,11708,33
199,2DC2,5,11714,33
202,2DC8,5,11720,33
205,2DD0,5,11728,33
210,2DE6,5,11750,33
214,2DF2,5,11762,33
219,2E1A,5,11802,33
221,2E24,5,11812,33
231,2E46,5,11846,33
235,2E50,5,11856,33
240,2E6C,5,11884,33
241,2E74,5,11892,33
243,2E7A,5,11898,33
245,2E84,5,11908,33
248,2E90,5,11920,33
253,2EB0,5,11952,33
255,2EBC,5,11964,33
257,2EC2,5,11970,33
258,2EC4,5,11972,33
262,2ED8,5,11992,33
264,2EDE,5,11998,33
266,2EE4,5,12004,33
267,2EE6,5,12006,33
269,2EEC,5,12012,33
270,2EEE,5,12014,33
275,2F0A,5,12042,33
280,2F24,5,12068,33
285,2F32,5,12082,33
288,2F3A,5,12090,33
301,2F74,5,12148,33
304,2F96,5,12182,33
307,2FA4,5,12196,33
313,2FB6,5,12214,33
316,2FD2,5,12242,33
317,2FD4,5,12244,33
319,2FDA,5,12250,33
323,304A,5,12362,33
327,305A,5,12378,33
332,3096,5,12438,33
335,30A4,5,12452,33
336,30A6,5,12454,33
339,30B2,5,12466,33
