Index,TagID,PRI,TagID_Dec
429,C55D,5,-15011
430,C55E,5,-15010
431,C562,5,-15006
432,C564,5,-15004
433,C565,5,-15003
434,C566,5,-15002
435,C568,5,-15000
436,C569,5,-14999
437,C56B,5,-14997
438,C56C,5,-14996
439,C56D,5,-14995
440,C56E,5,-14994
441,C572,5,-14990
442,C574,5,-14988
443,C575,5,-14987
444,C576,5,-14986
445,C57A,5,-14982
446,C58A,5,-14966
447,C592,5,-14958
448,C594,5,-14956
449,C595,5,-14955
450,C596,5,-14954
451,C59A,5,-14950
452,C5A2,5,-14942
453,C5A4,5,-14940
454,C5A5,5,-14939
455,C5A6,5,-14938
456,C5A8,5,-14936
457,C5A9,5,-14935
458,C5AB,5,-14933
459,C5AD,5,-14931
460,C5AE,5,-14930
461,C5B2,5,-14926
462,C5B4,5,-14924
463,C5B5,5,-14923
464,C5B6,5,-14922
465,C5BA,5,-14918
466,C5D4,5,-14892
467,C5D5,5,-14891
468,C5D6,5,-14890
469,C5DA,5,-14886
470,C5EA,5,-14870
471,C62A,5,-14806
472,C64A,5,-14774
473,C652,5,-14766
474,C654,5,-14764
475,C655,5,-14763
476,C656,5,-14762
477,C65A,5,-14758
478,C66A,5,-14742
479,C68A,5,-14710
480,C692,5,-14702
481,C694,5,-14700
482,C695,5,-14699
483,C696,5,-14698
484,C69A,5,-14694
485,C6A4,5,-14684
486,C6A5,5,-14683
487,C6A6,5,-14682
488,C6A8,5,-14680
489,C6A9,5,-14679
490,C6AA,5,-14678
491,C6AB,5,-14677
492,C6AC,5,-14676
493,C6AD,5,-14675
494,C6AE,5,-14674
495,C6B2,5,-14670
496,C6B4,5,-14668
497,C6B5,5,-14667
498,C6B6,5,-14666
499,C6BA,5,-14662
500,C6CA,5,-14646
501,C6D2,5,-14638
502,C6D4,5,-14636
503,C6D5,5,-14635
504,C6D6,5,-14634
505,C6DA,5,-14630
506,C6EA,5,-14614
507,C72A,5,-14550
508,C74A,5,-14518
509,C752,5,-14510
510,C754,5,-14508
511,C755,5,-14507
512,C756,5,-14506
513,C75A,5,-14502
514,C7AA,5,-14422
515,C82A,5,-14294
516,C84A,5,-14262
517,C852,5,-14254
518,C854,5,-14252
519,C85A,5,-14246
520,C86A,5,-14230
521,C88A,5,-14198
522,C894,5,-14188
523,C896,5,-14186
524,C8A2,5,-14174
525,C8A4,5,-14172
526,C8A5,5,-14171
527,C8A6,5,-14170
528,C8A9,5,-14167
529,C8AA,5,-14166
530,C8AB,5,-14165
531,C8AC,5,-14164
532,C8AD,5,-14163
533,C8AE,5,-14162
534,C8B2,5,-14158
535,C8B4,5,-14156
536,C8B6,5,-14154
537,C8BA,5,-14150
538,C8CA,5,-14134
539,C8D2,5,-14126
540,C8D4,5,-14124
541,C8D5,5,-14123
542,C8D6,5,-14122
543,C8DA,5,-14118
544,C8EA,5,-14102
545,C90A,5,-14070
546,C912,5,-14062
547,C914,5,-14060
548,C915,5,-14059
549,C916,5,-14058
550,C91A,5,-14054
551,C922,5,-14046
552,C924,5,-14044
553,C925,5,-14043
554,C928,5,-14040
555,C929,5,-14039
556,C92B,5,-14037
